Social;Page url;Post Url;Likes;Reposts;Comments;Views;ER Post;ER View;VR Post;Text;Date;Author;Media 1;Url 1;Media 2;Url 2;Media 3;Url 3;Media 4;Url 4;Media 5;Url 5;Media 6;Url 6;Media 6;Url 6;Media 7;Url 7;Media 8;Url 8;Media 9;Url 9;Media 10;Url 10
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5517;11;5;12;10096;0,3537;0,2773;127,5231;"Встречаем третий месяц зимы вместе с «Электронным домом» и баллами городской программы лояльности «Миллион призов»!

Напоминаем, что за участие в жизни платформы вы можете получить:

- 500 городских баллов за инициирование Общего собрания собственников (ОСС);
- 500 или 1000 городских баллов за успешное проведение этого собрания;
- 100 или 200 городских баллов за участие в ОСС;
- 10 или 20 городских баллов за передачу показаний каждого счётчика;
- 20 или 50 городских баллов за первое опубликованное объявление.

Но это ещё не всё: баллы начисляются за приглашение новых участников на платформу с помощью персонального промокода и за оплату единого платёжного документа! Полные условия начисления — в Базе знаний платформы.

Все накопленные баллы вы можете обменять на ценные товары и услуги от партнёров городской программы лояльности «Миллион призов».

А самые свежие новости Москвы — уже в канале Сергея Собянина в MAX: max.ru/mossobyanin <a href=""http://max.ru/mossobyanin"" class=""blue-selection"" target=""_blank"">http://max.ru/mossobyanin</a>";01.02.2026;public190256180;image;https://sun9-25.vkuserphoto.ru/s/v1/ig2/VlchjAgHPgMNCdjOxwQdNhNu8C6jM0mLfSnJwCGjSf_zq0gn-cBCPButfSUe3i1di1h50BCiHORauYCEOvNBU3aw.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5516;12;2;0;9790;0,1768;0,143;123,658;"Продолжаем нашу рубрику-прогулку, в которой мы знакомимся с типичной застройкой столицы.

Сегодня поговорим про жилые дома серии 124 — кирпичные здания, которые строились по всей стране, в том числе и в Москве, с 1970 по 1990 год.

Серия получила большое количество версий башенного типа с одним подъездом и количеством этажей от 9 до 14, но одна из самых узнаваемых — в форме трилистника.

Среди плюсов данной серии отметим удобные планировки, увеличенную площадь кухни, хорошую теплоизоляцию, наличие лоджий и раздельных санузлов во всех квартирах.

Большое количество модификаций охватывает разные варианты планировок и расположения квартир.

Серия редкая, в Москве её можно встретить только в районе Косино-Ухтомский.";31.01.2026;public190256180;image;https://sun9-70.vkuserphoto.ru/s/v1/ig2/2f7XwX_NSysKQGxu5kSnwzqjzRoWdyp68KS6vuR470ZSdlCCgXnjy4eKk5QNzjEqVXOhNpgD0cmt6xkNiKejsBrj.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280&from=bu;image;https://sun9-4.vkuserphoto.ru/s/v1/ig2/RoIQ17FiVlTgS-XYFC1rdvqBJ8uu3KXHuOV8ia8uAZcT9MISgwpWd9HVQp3l38G1ekQFvsE-sOaQILO5q6mVIU-L.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280&from=bu;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5515;28;18;0;24133;0,581;0,1906;304,8251;"Академия грамотных собственников спешит к вам с хорошими новостями. Мы обновили и дополнили программу обучения, чтобы она стала ещё полезнее! Новая программа стартовала с 28 января <a href=""https://ed.mos.ru/academy-oss"" class=""blue-selection"" target=""_blank"">https://ed.mos.ru/academy-oss</a>/. 
 
Среди новинок: 
— Практикум по подаче заявки на ОСС в «Электронном доме». 
Специалисты пошагово расскажут и покажут процесс подачи заявки на проведение общего собрания собственников в режиме реального времени, ответят на все вопросы и подскажут, на что обратить внимание. 
 
— Новая лекция для домов с ТСЖ/ЖСК. 
Поговорим о ТСЖ/ЖСК, разберём, в чём отличие собрания членов ТСЖ/ЖСК от собрания собственников и какие инструменты «Электронного дома» пригодятся жителям таких домов. 
 
Выбирайте удобный формат — онлайн или офлайн, регистрируйтесь заранее и присоединяйтесь к активному управлению своим домом! 
 
Все лекции бесплатные, обязательна предварительная регистрация.";30.01.2026;public190256180;image;https://sun9-10.vkuserphoto.ru/s/v1/ig2/95vmilwPkTLmxOocLgAHJt5XfWHRkZBMQfqvgB30ndFqs3mtuECc1teyuTuY0oye-xVdLwJQrcs0mDaZNIboHN_7.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,974x974&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5514;7;2;0;19413;0,1137;0,0464;245,2065;"Передача показаний счетчиков электроэнергии через портал mos.ru становится все более популярной. 
 
Всего за 2025 год москвичи воспользовались услугой более 3,3 млн раз, а общее количество обращений к сервису превысило 47 млн раз за 12,5 лет работы. 
 
Не забывайте, что вы можете передать показания счетчиков воды и электроэнергии на сайте и в приложении платформы «Электронный дом». Для этого достаточно проверить наличие адреса, а также информации по коду плательщика (для передачи показаний воды) и номерам приборов учета и лицевому счету (для передачи показаний электроэнергии) в профиле пользователя. Не хватает данных? 
 
Просто добавьте их и получайте не только удобный сервис, но и баллы городской программы лояльности «Миллион призов» за каждую передачу!

Самые важные новости Москвы – в канале Сергея Собянина в MAX: max.ru/mossobyanin";29.01.2026;public190256180;image;https://sun9-43.vkuserphoto.ru/s/v1/ig2/dK5bpIZUSghiNnhzYKxvrjC8NNR8nWp9izlMugXwRJY2XT7yrRTkcbxwIB8aMCXx7sj7tQwtctwjyvZ65sCHYe-f.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,877x877&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5499;10;3;2;12185;0,1895;0,1231;153,9093;"Небольшой и тихий район рядом с центром города, Алексеевский, больше на слуху у местных жителей, чем приезжих. Поговорим сегодня о его особенностях.

Инфраструктура района давно сложилась и прошла проверку временем.

Здесь расположены две станции метро — «Алексеевская» и «ВДНХ», по улицам проложено более 20 автобусных маршрутов, 3 трамвайные линии. Кроме того, по району проходит крупный проспект Мира и Третье транспортное кольцо.

Социальные объекты тоже хорошо развиты. В районе есть 7 школ и гимназий с высоким рейтингом, 11 дошкольных учреждений, 2 колледжа и филиалы Московского финансово-юридического университета и Гуманитарного института.

Прогуляться в тени деревьев, поиграть на свежем воздухе или заняться спортом можно в одном из многочисленных скверов.

Большая часть жилых домов в районе построена в советские годы, также есть небольшое количество новостроек. Здесь можно найти сталинки, хрущёвки и более современные панельные дома.";25.01.2026;public190256180;image;https://sun9-86.vkuserphoto.ru/s/v1/ig2/33xzPwpWch4jj0i7uRfgAWVC9UIZ_KALYrln1vDYrpaGf1wDstItx-R9Hrwz73XFiUBRF1kFN1IzidTgnvp7Og1h.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu;image;https://sun9-55.vkuserphoto.ru/s/v1/ig2/3tSKlfybY9HJ48HmsLvtERj2AXQufnq1GclKvCkjPoDwuBmfqtth2pgFiVvKIPQuETE0CWlvF5nfIgn1b2Ui2F81.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5498;7;3;0;732;0,1263;1,3661;9,2459;"Новогодние праздники — это время, когда нас окружают интересные занятия, вкусная еда, игры с детьми и домашними любимцами.
В такие дни совершенно не хочется отвлекаться на разные мелочи, будь то пролитый сок или пятно от салата.

Чтобы не тратить время и силы на удаление пятен с мягкой мебели или ковров после праздников, рекомендуем воспользоваться специальным сервисом и вызвать проверенных мастеров из химчистки на дом.

Сделать это проще простого:

- в личном кабинете на сайте или в приложении «Электронный дом» зайдите в раздел «Услуги» (боковое меню сайта или вкладка «Еще» в приложении);
- выберите сервис «Химчистка»; 
- заполните форму, обязательно укажите удобный день и время приезда специалиста
- отправьте заявку и дождитесь звонка оператора с подтверждением и уточнением стоимости.

Пусть в новом году ваш дом всегда радует чистотой и свежестью!

Больше новостей об электронных проектах Москвы в мессенджере MAX: max.ru/techmos";24.01.2026;public190256180;image;https://sun9-41.vkuserphoto.ru/s/v1/ig2/4c9XnQz9cFD39lDFIktrwStNgKZhjtDO4qgZg4WO3S32-aOvHi774F129QBkAQWt26YDWEqsGXtRfZKxftcnfQX7.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5494;13;1;4;19587;0,2274;0,0919;247,4043;"Сегодня поговорим об истории Алексеевского района. Первые упоминания села Алексеевское относятся к самому началу XIV века, где оно приписывалось к вотчине боярина Свибло. В дальнейшем село несколько раз меняло хозяев, один из которых передал его Чудову монастырю. 

В 1621 году эти земли были пожалованы князю Д.Т. Трубецкому. Детей у него с женой не было, поэтому после их смерти, в 1662-м, село перешло во дворцовое ведомство. Начинается новый этап для этих земель — на них строится путевой дворец, затем царская резиденция и церковь Тихвинской иконы Божией Матери в стиле московского барокко.

При Петре I и его преемниках местность вниманием не пользуется и приходит в упадок. 

В конце XVIII века через село проходит Мытищинский водопровод, строится водоприёмная станция, а позднее Алексеевская водокачка, подававшая воду в город. 

В черту Москвы село вошло в 1917 году, после чего здесь началась сначала точечная, а позднее и массовая многоэтажная жилая застройка. В современных границах район закрепился в 1995 году.";23.01.2026;public190256180;image;https://sun9-43.vkuserphoto.ru/s/v1/ig2/_B14W5hxWesEBifTVu7vVGKjLz1sgMQNtCEd5uWC93mqRgFnyDg8uOPuN01DJ4AUtaQRCDZp_h8SP4eNn6vmuuLB.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,996x996&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5493;10;1;5;23500;0,2021;0,0681;296,8296;"С началом года стартовала регулярная проверка газового оборудования в многоквартирных домах столицы. Всего в 2026 году специалисты планируют провести проверку и техобслуживание более 1,8 млн плит.

Состояние газового оборудования в жилых домах Москвы находится на особом контроле. 

Регулярные проверки и техобслуживание помогают вовремя диагностировать неисправности и устранить их. При этом проверяется не только внутриквартирное оборудование, но и состояние внутридомового газопровода.

Специалисты напоминают, что средний срок службы газовой плиты составляет 10-12 лет, после этого её состояние уже не гарантирует безопасное использование.

Ответственность за поддержание оборудования в надлежащем состоянии, а также за его своевременную замену лежит на собственнике или нанимателе жилого помещения.

Вся информация о датах проверок доступна на официальном сайте АО «Мосгаз». О приходе специалистов жителей предупредят заранее — объявления появятся на информационных стендах в подъездах и в местах общего пользования.";22.01.2026;public190256180;image;https://sun9-30.vkuserphoto.ru/s/v1/ig2/HK5cAXa6Vrn0nQP3mqq4Efj0VV2wRQ0NfhCfX6vg6PwuahwvrW3tiuLR4UgE-MZOFdm2GZn3zsMKtQGbIaOo-b3r.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5492;3;0;0;406;0,0379;0,7389;5,1282;"В сфере «Молодёжь» на платформе «Город идей» реализовано уже 100 инициатив! И это только начало. Благодаря масштабным преобразованиям в проектном офисе «Молодёжь Москвы» при Комитете общественных связей и молодёжной политики города появились новые темы для подачи идей. 
 
Сегодня каждый может подать идею по следующим темам: 
— «Молодёжь Москвы. Развитие» 
— «Молодёжь Москвы. Город Героев» 
— «Молодёжь Москвы. Карьера» 
— «Молодёжь Москвы. Креатив» 
— «Молодёжь Москвы. Дружба» 
— «Молодёжь Москвы. Спорт» 
 
Прямо сейчас вы можете отправить своё предложение, дайте волю фантазии. Всё в ваших руках, нужно лишь перейти по ссылке: <a href=""https://vk.cc/cTxALN"" class=""blue-selection"" target=""_blank"">https://vk.cc/cTxALN</a>";19.01.2026;public190256180;image;https://sun9-22.vkuserphoto.ru/s/v1/ig2/wpkCNr1Ic_nY9foFhcuJucJ0YGQH-4batWydoOwytUSYthgHe6S1Fm8rlzENZ0UL7l1fDS0w5qy0r-8GXnvEDMqs.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,791x791&from=bu;;;;;;;;;;;;;;;;;;;;
VK;https://vk.com/public190256180;https://vk.com/wall-190256180_5491;9;2;0;787;0,1389;1,3977;9,9406;"Напоминаем, что на платформе создан раздел, в котором собрана полезная информация о сфере ЖКХ и работе «Электронного дома». Речь, конечно же, идёт о «Базе знаний».

Для вашего удобства мы собрали в одном месте статьи и ответы на самые часто задаваемые вопросы со ссылками на законодательную базу.

Здесь вы найдёте:

- информацию об управлении общедомовым имуществом и решении бытовых вопросов;
- статьи и инструкции о подготовке и проведении общих собраний собственников (с необходимыми шаблонами документов);
- данные о возможностях платформы «Электронный дом»;
- полезные рекомендации и многое другое.

Самые важные новости Москвы – в канале Сергея Собянина в MAX: max.ru/mossobyanin. Присоединяйтесь сегодня и будьте в курсе всех нюансов и новостей! <a href=""http://max.ru/mossobyanin"" class=""blue-selection"" target=""_blank"">http://max.ru/mossobyanin</a>";18.01.2026;public190256180;image;https://sun9-63.vkuserphoto.ru/s/v1/ig2/jnHszUq2NqEbXGZ5ZU4y8WnPDujrtOioFNy3-9wZDmJeYrOmfiVOVTlwX6cJfir4geNKf_BSfhbrGkOw-edXNA-v.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080&from=bu;;;;;;;;;;;;;;;;;;;;
